interrupt,[-0.19125757]
interrupt and,[-0.19125757]
me interrupt,[-0.19125757]
start hold,[-0.19125757]
that thought,[-0.19125757]
thought and,[-0.19125757]
which ye,[-0.19125757]
who played,[-0.19119568]
so end,[-0.19107083]
what shall,[-0.19106665]
a positive,[-0.19092368]
memory end,[-0.19091683]
s,[-0.19089165]
to see,[-0.19075598]
backspace,[-0.19053901]
the backspace,[-0.19053901]
you wish,[-0.19039726]
is ella,[-0.19037334]
page,[-0.19034882]
played by,[-0.19026888]
thinking that,[-0.19021744]
look end,[-0.19018079]
i must,[-0.19014739]
weird,[-0.19003088]
mark,[-0.189983]
it and,[-0.18993357]
judge20,[-0.1898223]
judge30,[-0.1898223]
wait end,[-0.18974503]
c,[-0.18965216]
know why,[-0.18938765]
could not,[-0.18925346]
that at,[-0.18913378]
start here,[-0.18913179]
test is,[-0.18903202]
bob,[-0.18886788]
warm,[-0.18858962]
to read,[-0.18857006]
it seems,[-0.18850397]
as cool,[-0.18845775]
as india,[-0.18845775]
cool as,[-0.18845775]
cool not,[-0.18845775]
india though,[-0.18845775]
its cool,[-0.18845775]
perfect,[-0.18834572]
mine end,[-0.18834415]
red,[-0.18808606]
laundry,[-0.18807024]
books end,[-0.18804239]
interest you,[-0.1879367]
you male,[-0.18777372]
riding end,[-0.18774289]
start judge02,[-0.18770598]
real,[-0.18766126]
a lookin,[-0.18765406]
and chaps,[-0.18765406]
chaps,[-0.18765406]
chaps he,[-0.18765406]
growled,[-0.18765406]
growled i,[-0.18765406]
he growled,[-0.18765406]
his holsters,[-0.18765406]
holsters,[-0.18765406]
holsters and,[-0.18765406]
lookin,[-0.18765406]
lookin for,[-0.18765406]
i never,[-0.18740326]
answer,[-0.18738647]
a coincidence,[-0.1873184]
coincidence,[-0.1873184]
coincidence you,[-0.1873184]
